Sample,Period,Region,Site Name,Ti,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,CaO,TiO2,MnO2
29,1,PL,JI-2,-1.42137862087009,-0.286238007865996,-0.971098062108707,-0.795468805551647,-1.19131980893878,-0.679297805612811,-0.51728179788762,0.808445978087538,-0.160718394405112,0.616299169389244,-0.074141355445894,-0.703125911129105,-0.095362149077599,-1.41250653072363,-1.19253033488814,-0.308426329320477
30,1,PL,JI-2,-0.242794752445014,0.321043124081032,-0.115807628248465,0.16656631791245,-0.856775874294393,-0.945246228959836,-0.472737297015761,0.476045638443318,0.630784868280268,1.0290223917427,-0.012169845899729,-0.068006235575991,1.00627023870788,-0.717057858639599,-0.912496876700359,0.221998313921616
31,0,PL,CH-1,-0.022310810531577,-0.209567469466658,-0.291074805385353,-0.196993023245873,0.005813158615067,-0.112289124257424,0.228169327047746,0.714368907267028,-0.831267663355852,-0.3460888755914,0.051755720253748,1.83149566022203,0.368119703648523,-0.595758671648197,-0.339405148316063,-0.281905097158372
32,0,PL,CH-1,1.36725724984607,1.24823418658372,1.08148528371371,-0.116524408046194,-0.137446925910147,-0.608332754646104,-0.651112788438097,-0.112378160656551,-0.335387027034613,-0.03883174356993,-0.918014658860569,-0.308486722038581,0.1575507387804,-0.26622921365489,-0.743174320586817,1.17676267175738
33,0,PL,CH-1,0.162769419705795,3.65151398134428,1.08002278666108,1.40459199540581,0.650240175301533,0.618120071442534,-0.623661965487015,-1.48494748875128,-0.669432141878628,-1.26435058478952,-1.47743315043947,-0.874984165163385,-0.689787981049582,-0.011500920972947,-1.0232077787746,3.52389171810364
34,0,PL,CH-1,-0.702455121278795,0.546070540958834,-0.752339804882495,0.293605953294107,-0.901662952495951,0.229606434704201,0.171490289731484,-0.576645717096937,-0.606880330633395,0.059104473121649,-0.126621732899404,0.636111968522223,0.407011676394658,-0.921244823408457,-0.80178597462612,0.500471251623715
35,0,PL,CH-1,0.421665650771139,2.68136018073439,0.735487338122775,0.283451943975741,-0.273135696039917,0.538169474950164,0.223276014883005,-0.470014415657195,0.10147666698154,-0.342658954335709,-0.008261732685105,0.456073364122968,0.041565210590744,-0.628105121512571,-0.573851764473276,2.56912736026788
36,0,PL,CH-1,0.275625234676429,1.56415876117464,0.305549447540171,0.032731894340308,-1.09413658059155,-0.70506823155935,-0.209420050482605,0.173676675343833,-0.161486844174709,0.505823798711743,-0.593082960159054,0.705328639743721,-0.015967293471585,-0.405723278695002,-0.723637102573716,1.44197499337843
37,0,PL,CH-1,1.00994502617803,1.17927401022669,1.11353960940129,0.514703780256414,0.262210312535052,0.631880114755761,0.415958410033642,0.310530534505252,-0.676886104643723,-0.69597274991616,-0.398514752259607,0.795675155957948,1.33259460174941,0.243227371708995,0.813290714456896,1.04415651094686
38,0,PL,CH-1,-0.528376821121292,0.464576019554451,0.141048981724609,-0.017885460382071,-0.668304226664959,-0.781697438286459,3.74646077349664,-0.286050328144167,-1.07655682981136,0.13644520915696,-0.886749753143585,-0.381586332899987,2.26347051747789,-0.120670189265209,-0.606413794495111,0.420907555137401
39,0,PL,CH-1,2.15642445910184,2.05262158819922,1.50921843728456,0.671823713919545,-0.053229601856976,0.980109385906565,0.558777906229197,2.23826847762338,-0.228265129152728,1.61084128988376,-0.098460961110866,2.75138522300464,0.686217860972709,0.176838817188208,1.55598917667129,2.09174518134999
40,0,PL,CH-1,-0.568600033641392,0.706909784967765,-0.31470450440435,-0.015289698601436,-0.721233310892779,-0.338597396341445,1.22601195886744,-0.022335329521942,-0.381955083072219,0.697479792625797,-0.098460961110866,0.18605489749509,2.44355677548134,0.35686868810655,0.204670851134229,0.765683573244761
41,0,PL,CH-1,0.09687244736666,1.54031964489253,-0.069505908118168,0.213748105572224,-0.654432939989199,0.32075599478256,0.625501311493022,-0.13779542944773,-0.381955083072219,0.040500470036735,-0.098460961110866,1.93301453914177,0.24688313234555,0.636915153979527,0.590761801287675,1.5613205381079
42,0,PL,CH-1,0.185602111501067,1.97173180767711,-0.037351727263855,-0.244327502775096,1.14917707440747,0.406758611016126,0.514295636053314,-0.229161289877608,-0.458800060031965,-0.42419222155065,-0.098460961110866,1.55827240781062,-0.851453689222347,0.636915153979527,1.1055497348256,1.95913902053947
